colour	x	xend	y	yend	showSelected1	PANEL
#999999	1450501200	1450587600	23.46	23.46	sensor day off	1
#999999	1455339600	1455426000	24.44	24.44	sensor day off	1
#999999	1457154000	1457240400	24.44	24.44	sensor day off	1
#999999	1458882000	1458968400	24.44	24.44	sensor day off	1
#999999	1459573200	1459659600	23.95	23.95	sensor day off	1
#999999	1463202000	1463288400	22.48	22.48	sensor day off	1
#666666	1463893200	1463979600	22.48	22.48	sensor work day	1
#999999	1464411600	1464498000	22.48	22.48	sensor day off	1
#666666	1468386000	1468472400	21.99	21.99	sensor work day	1
#999999	1471582800	1471669200	22.48	22.48	sensor day off	1
#999999	1472878800	1472965200	22.48	22.48	sensor day off	1
#999999	1473483600	1473570000	22.48	22.48	sensor day off	1
#999999	1474088400	1474174800	22.48	22.48	sensor day off	1
#999999	1479531600	1479618000	21.99	21.99	sensor day off	1
#999999	1480050000	1480136400	23.46	23.46	sensor day off	1
#999999	1480136400	1480222800	23.46	23.46	sensor day off	1
#999999	1481864400	1481950800	23.46	23.46	sensor day off	1
#999999	1484370000	1484456400	23.46	23.46	sensor day off	1
#999999	1484888400	1484974800	23.95	23.95	sensor day off	1
#999999	1486098000	1486184400	23.46	23.46	sensor day off	1
#999999	1486184400	1486270800	23.46	23.46	sensor day off	1
#999999	1496379600	1496466000	22.97	22.97	sensor day off	1
#999999	1497675600	1497762000	22.97	22.97	sensor day off	1
#999999	1498194000	1498280400	22.97	22.97	sensor day off	1
#999999	1499490000	1499576400	22.97	22.97	sensor day off	1
#666666	1500440400	1500526800	23.46	23.46	sensor work day	1
#999999	1505538000	1505624400	21.99	21.99	sensor day off	1
#999999	1509080400	1509166800	23.95	23.95	sensor day off	1
#666666	1510462800	1510549200	21.99	21.99	sensor work day	1
#999999	1512190800	1512277200	22.48	22.48	sensor day off	1
#666666	1516597200	1516683600	23.46	23.46	sensor work day	1
#999999	1523595600	1523682000	23.46	23.46	sensor day off	1
